  , ,pop1, pop2 ,mo_rap, mo_len, mo_sol
,360,6190166391107154.00000,1.46843,48600428142551.25000,0.00002,-9475038242074518.00000
,361,6802625576986051.00000,1.46065,53408986874722.73438,0.00002,-10412504836873836.00000
,362,7475681882662297.00000,1.45291,58693307610737.52344,0.00002,-11442725000989850.00000
,363,8215330827531139.00000,1.44521,64500462560151.17188,0.00002,-12574875834352004.00000
,364,9028161131670282.00000,1.43755,70882181288286.51562,0.00001,-13819042425269438.00000
,365,9921413407510530.00000,1.42993,77895311518115.40625,0.00001,-15186307687406068.00000
,366,10903044658499416.00000,1.42235,85602325524185.64062,0.00001,-16688851085285818.00000
,367,11981799159305568.00000,1.41481,94071876629500.26562,0.00001,-18340057127765104.00000
,368,13167286348957708.00000,1.40732,103379410762568.84375,0.00001,-20154634595921736.00000
,369,14470066430782710.00000,1.39986,113607838522320.64062,0.00001,-22148747567430584.00000
,370,15901744441658546.00000,1.39244,124848273737568.03125,0.00001,-24340159404578232.00000
,371,17475073628541770.00000,1.38506,137200845100035.14062,0.00001,-26748390988547704.00000
,372,19204069053137492.00000,1.37772,150775588100898.93750,0.00001,-29394894609508740.00000
,373,21104132436691072.00000,1.37042,165693425216125.84375,0.00001,-32303245061509392.00000
,374,23192189357006656.00000,1.36315,182087243071998.37500,0.00001,-35499349644423520.00000
,375,25486840019830112.00000,1.35593,200103076186116.43750,0.00001,-39011678943630816.00000
,376,28008524947653024.00000,1.34874,219901407828521.90625,0.00001,-42871520443192128.00000
,377,30779707061877296.00000,1.34159,241658599590889.28125,0.00001,-47113257231681224.00000
,378,33825071780310436.00000,1.33448,265568462398244.06250,0.00001,-51774674283357224.00000
,379,37171746912440272.00000,1.32741,291843982957627.31250,0.00001,-56897295043000256.00000
,380,40849544311294632.00000,1.32037,320719221022740.75000,0.00001,-62526751312674896.00000
,381,44891225434496992.00000,1.31338,352451394375219.81250,0.00001,-68713189735336392.00000
,382,49332793180109816.00000,1.30642,387323170095342.37500,0.00001,-75511718496195648.00000
,383,54213812596910672.00000,1.29949,425645182532587.81250,0.00001,-82982898221014752.00000
,384,59577763325956632.00000,1.29260,467758800405880.06250,0.00001,-91193281444206896.00000
,385,65472426912951864.00000,1.28575,514039167682572.18750,0.00001,-100216005452269408.00000
